,source,url,princeton
48,pillowlab.wordpress.com,218,False
53,princeton.academia.edu/AnnaShields,148,False
54,princeton.academia.edu/MarinaRustow,99,False
55,princeton.academia.edu/MattKarp,61,False
4,blogs.princeton.edu/reelmudd,60,True
57,princeton.academia.edu/VeraCandiani,59,False
3,blogs.princeton.edu/italian,42,True
28,francinekay.com,32,False
2,blogs.princeton.edu/eqn,24,True
59,princeton.edu/leslie,20,True
56,princeton.academia.edu/RobCWegman,20,False
45,paw.princeton.edu,17,True
30,goprincetontigers.com,17,False
21,facilitiesinclusion.princeton.edu,16,True
51,poets.org/poet.php/prmPID/248,16,False
19,dailyprincetonian.com,16,False
0,biodigester.princeton.edu,12,True
66,princetongleeclub.com,12,False
12,chime.princeton.edu,12,True
9,caribbeanliterature.princeton.edu,12,True
7,bobholman.com,12,False
26,fluids.princeton.edu,12,True
16,cs.princeton.edu/~kylej,12,True
15,cs.princeton.edu/~ehazan,12,True
38,movingforlife.org,10,False
20,deanalawson.com,9,False
80,spider.princeton.edu,8,True
52,poloclub.princeton.edu,8,True
64,princeton.edu/~naomi,8,True
49,plantbiology.princeton.edu,8,True
33,keithwailoo.com,8,False
79,soniccinema.princeton.edu,8,True
8,butlercollege.princeton.edu,6,True
41,njsymphony.org/musicians-music/musicians/detail/45,6,False
5,blueflowerarts.com/artist/alicia-ostriker,6,False
6,blueflowerarts.com/artist/mark-doty,6,False
10,chignell.net,6,False
43,omarwasow.com,6,False
1,blogs.princeton.edu/caps,6,True
81,susanbrison.com,6,False
29,goprincetontigers.blogspot.com,6,False
14,cs.princeton.edu,6,True
18,csctf.princeton.edu,6,True
35,mattsullivan.org/Page1.html,6,False
32,guitarduo.com,6,False
68,princetonroaring20.com,4,False
61,princeton.edu/~graphicarts,4,True
78,skprinceton.com,4,False
77,share.princeton.edu,4,True
75,seniors.princeton.edu,4,True
74,scholar.princeton.edu/markus,4,True
73,religiouslife.princeton.edu,4,True
60,princeton.edu/~ekolemen,4,True
69,princetontigressions.com,4,False
72,ralphbowen.com/index.html,4,False
65,princetonbuffer.princeton.edu,4,True
82,thealternative.princeton.edu,4,True
67,princetonkindredspirit.com,4,False
70,princetonwildcats.com,4,False
71,pringle.princeton.edu,4,True
42,nuclearfutures.princeton.edu,4,True
58,princeton.edu/admissionfacebook,4,True
39,muslimlife.princeton.edu,4,True
23,fai.princeton.edu,4,True
24,fanfiction.princeton.edu,4,True
25,figments.princeton.edu,4,True
27,folklorico.princeton.edu,4,True
31,gss.princeton.edu,4,True
34,libertarians.princeton.edu,4,True
40,nats.org/christopher_arneson.html,4,False
44,onstott.princeton.edu,4,True
50,pnkhr.princeton.edu,4,True
83,twod.princeton.edu,4,True
17,cs.princeton.edu/~sseung,3,True
13,claudiarankine.com,3,False
11,chikaokeke-agulu.blogspot.com,3,False
37,movementgroup.org,2,False
36,michaelcochrane.com,2,False
62,princeton.edu/~hcil,2,True
46,philklay.com,2,False
47,pietroortoleva.com,2,False
76,seunglab.org,2,False
63,princeton.edu/~hsr,2,True
22,facilitiesinsider.princeton.edu,2,True
